Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS▼,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
99,Martin Perez*,30,BOS,AL,7,8,0.467,4.74,36,22,6,0,0,0,114,136,71,60,19,36,2,97,9,1,2,509,100,4.82,1.509,10.7,1.5,2.8,7.7,2.69
100,Cal Quantrill,26,CLE,AL,8,3,0.727,2.89,40,22,2,0,0,0,149.2,129,55,48,16,47,0,121,9,0,3,616,150,4.07,1.176,7.8,1,2.8,7.3,2.57
101,Garrett Richards,33,BOS,AL,7,8,0.467,4.87,40,22,4,0,0,3,136.2,158,86,74,19,60,1,115,5,0,7,617,97,4.72,1.595,10.4,1.3,4,7.6,1.92
102,Framber Valdez*,27,HOU,AL,11,6,0.647,3.14,22,22,0,1,0,0,134.2,110,52,47,12,58,1,125,11,2,9,572,137,4.01,1.248,7.4,0.8,3.9,8.4,2.16
103,Adbert Alzolay,26,CHC,NL,5,13,0.278,4.58,29,21,1,0,0,1,125.2,112,66,64,25,34,2,128,5,3,2,519,93,4.65,1.162,8,1.8,2.4,9.2,3.76
104,Aaron Civale,26,CLE,AL,12,5,0.706,3.84,21,21,0,0,0,0,124.1,108,56,53,23,31,0,99,4,1,3,498,113,4.83,1.118,7.8,1.7,2.2,7.2,3.19
105,Johnny Cueto,35,SFG,NL,7,7,0.5,4.08,22,21,0,0,0,0,114.2,127,57,52,15,30,1,98,4,0,0,490,100,4.05,1.369,10,1.2,2.4,7.7,3.27
106,John Gant,28,TOT,MLB,5,11,0.313,4.09,39,21,4,0,0,0,110,95,56,50,10,71,2,92,6,0,3,491,98,4.78,1.509,7.8,0.8,5.8,7.5,1.3
107,James Kaprielian,27,OAK,AL,8,5,0.615,4.07,24,21,0,0,0,0,119.1,105,55,54,19,41,0,123,5,0,1,502,99,4.33,1.223,7.9,1.4,3.1,9.3,3
108,Kwang Hyun Kim*,32,STL,NL,7,7,0.5,3.46,27,21,2,0,0,1,106.2,98,46,41,12,39,2,80,4,0,4,452,112,4.34,1.284,8.3,1,3.3,6.8,2.05
109,Kenta Maeda,33,MIN,AL,6,5,0.545,4.66,21,21,0,0,0,0,106.1,106,60,55,16,32,1,113,7,0,3,453,91,4.1,1.298,9,1.4,2.7,9.6,3.53
110,Michael Pineda,32,MIN,AL,9,8,0.529,3.62,22,21,0,0,0,0,109.1,114,49,44,17,21,1,88,2,0,1,458,117,4.21,1.235,9.4,1.4,1.7,7.2,4.19
111,Vince Velasquez,29,TOT,NL,3,9,0.25,6.3,25,21,1,0,0,0,94.1,91,68,66,23,49,2,101,4,0,2,417,66,5.88,1.484,8.7,2.2,4.7,9.6,2.06
